track pitch start end duration velocity
0 F#2 2.2305 2.3002 0.0697 84
0 F#2 2.7881 2.8903 0.1022 64
0 F#2 3.3457 3.4340 0.0883 64
0 F#2 3.9033 3.9591 0.0558 64
0 C#3 26.6341 26.6832 0.0492 86
0 B1 26.6341 26.7119 0.0779 106
0 F#3 27.1259 27.1832 0.0574 46
0 B1 27.1259 27.1832 0.0574 106
0 B1 27.6177 27.6791 0.0615 106
0 B1 28.1095 28.1751 0.0656 106
0 F#3 28.1095 28.1791 0.0697 46
0 B1 28.6013 28.6669 0.0656 106
0 F#3 29.0931 29.1464 0.0533 46
0 B1 29.0931 29.1546 0.0615 106
0 B1 29.5849 29.6464 0.0615 106
0 B1 30.0767 30.1341 0.0574 106
0 F#3 30.0767 30.1423 0.0656 46
0 B1 30.5685 30.6259 0.0574 106
0 F#3 31.0603 31.1177 0.0574 46
0 B1 31.0603 31.1218 0.0615 106
0 B1 31.5521 31.6177 0.0656 106
0 B1 32.0439 32.1054 0.0615 106
0 F#3 32.0439 32.1136 0.0697 46
0 B1 32.5357 32.5931 0.0574 106
0 B1 33.0275 33.0849 0.0574 106
0 F#3 33.0275 33.0931 0.0656 46
0 B1 33.5193 33.5767 0.0574 106
0 B1 34.0111 34.0644 0.0533 106
0 F#3 34.0111 34.0726 0.0615 46
0 D#2 34.0111 34.0726 0.0615 70
0 D#2 34.2570 34.3062 0.0492 70
0 C#3 34.5029 34.5521 0.0492 86
0 F#3 34.5029 34.5808 0.0779 29
0 B1 34.5029 34.5808 0.0779 106
0 A#4 34.6259 34.7242 0.0984 45
0 F#2 34.7488 34.7939 0.0451 30
0 F#3 34.7488 34.8267 0.0779 48
0 A#5 34.7488 34.8472 0.0984 45
0 A#4 34.8718 34.9619 0.0902 45
0 F#2 34.9947 35.0439 0.0492 78
0 B1 34.9947 35.0521 0.0574 106
0 D#2 34.9947 35.0562 0.0615 70
0 D2 34.9947 35.0726 0.0779 90
0 F#3 34.9947 35.0808 0.0861 29
0 A#4 35.1177 35.1955 0.0779 45
0 F#2 35.2406 35.2898 0.0492 30
0 F#3 35.2406 35.3267 0.0861 48
0 A#5 35.2406 35.3308 0.0902 45
0 A#4 35.3636 35.4414 0.0779 45
0 F#2 35.4865 35.5316 0.0451 78
0 B1 35.4865 35.5480 0.0615 106
0 F#3 35.4865 35.5685 0.0820 29
0 A#4 35.6095 35.6832 0.0738 45
0 F#2 35.7324 35.7775 0.0451 30
0 F#3 35.7324 35.8144 0.0820 48
0 A#5 35.7324 35.8267 0.0943 45
0 A#4 35.8554 35.9128 0.0574 45
0 F#2 35.9783 36.0193 0.0410 78
0 D#2 35.9783 36.0398 0.0615 70
0 B1 35.9783 36.0439 0.0656 106
0 D2 35.9783 36.0644 0.0861 90
0 F#3 35.9783 36.0849 0.1066 29
0 A#4 36.1013 36.1709 0.0697 45
0 F#2 36.2242 36.2652 0.0410 30
0 A#5 36.2242 36.2980 0.0738 45
0 F#3 36.2242 36.3308 0.1066 48
0 A#4 36.3472 36.3800 0.0328 45
